mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								Adagio	31.0			1.0		
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=31	31.0	𝅘𝅥	31.0	0.0		
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	0										
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	1										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	2										
1	1	2	2	0.875	1/2	1/2	Chord	4/4	1	1	7/32		1/8	7/4	3									0	
1	1	23/8	23/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	4										
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	5										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	6										
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	7										
1	1	0	0	0.0	0	0	StaffText	4/4	2	1	0							sotto voce							
1	1	0	0	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	8										
1	1	1/4	1/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	9										
1	1	1/2	1/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	10										
1	1	3/4	3/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	11										
1	1	1	1	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	12										
1	1	5/4	5/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	13										
1	1	3/2	3/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	14										
1	1	7/4	7/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	15										
1	1	2	2	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	16										
1	1	9/4	9/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	17										
1	1	5/2	5/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	18										
1	1	11/4	11/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	19										
1	1	3	3	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	20										
1	1	13/4	13/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	21										
1	1	7/2	7/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16		1/16	1	22										
1	1	15/4	15/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	23										
2	2	4	4	0.0	0	0	Dynamic	4/4	1	1	0					f									
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	24										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	25										
2	2	6	6	0.375	1/2	1/2	Chord	4/4	1	1	3/32		1/16	3/2	26		ornamentTurn								
2	2	51/8	51/8	0.0	19/32	19/32	Dynamic	4/4	1	1	0					f									
2	2	51/8	51/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32		1/32	1	27										
2	2	13/2	13/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32		1/32	1	28										
2	2	53/8	53/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32		1/32	1	29										
2	2	27/4	27/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32		1/32	1	30										
2	2	55/8	55/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	31										
2	2	7	7	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	32										
2	2	15/2	15/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	33									1	
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	34										
2	2	4	4	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	35										
2	2	17/4	17/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	36										
2	2	9/2	9/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16		1/16	1	37										
2	2	19/4	19/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	38										
2	2	5	5	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	39										
2	2	21/4	21/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	40										
2	2	11/2	11/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16		1/16	1	41										
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	42										
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	43										
2	2	4	4	0.0	0	0	Dynamic	4/4	2	1	0					f									
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	44										
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	45										
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	46										
3	3	8	8	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	47									2	
3	3	33/4	33/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	48									2	
3	3	17/2	17/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	49									2	
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	50										
3	3	9	9	0.0	1/4	1/4	Spanner	4/4	1	1	0														0
3	3	9	9	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	51									3	0
3	3	37/4	37/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	52									3	0
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	53									3	0
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	54										0
3	3	10	10	0.0	1/2	1/2	Dynamic	4/4	1	1	0					f									0
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	55									4	0
3	3	11	11	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	56										0
3	3	45/4	45/4	0.0	13/16	13/16	Dynamic	4/4	1	1	0					p									0
3	3	45/4	45/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	57		articStaccatoBelow							5	0
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	58		articStaccatoBelow							5	0
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	59		articStaccatoBelow								0
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	60									6	0
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	61										0
3	3	17/2	17/2	0.0	1/8	1/8	Dynamic	4/4	2	1	0					p									
3	3	17/2	17/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16		1/16	1	62									7	
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	63									7	
3	3	9	9	0.0	1/4	1/4	Spanner	4/4	2	1	0													7	1
3	3	9	9	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	64									7	1
3	3	37/4	37/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	65									7	1
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	66									7	1
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	67										1
3	3	10	10	0.0	1/2	1/2	Dynamic	4/4	2	1	0					f									1
3	3	10	10	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	68									8	1
3	3	41/4	41/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	69									8	1
3	3	21/2	21/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16		1/16	1	70									8	1
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	71										1
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	72										1
4	4	12	12	0.0	0	0	Spanner	4/4	1	1	0														
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	73										
4	4	25/2	25/2	0.125	1/8	1/8	Chord	4/4	1	1	1/32		1/32	1	74									9	
4	4	101/8	101/8	0.125	5/32	5/32	Chord	4/4	1	1	1/32		1/32	1	75									9	
4	4	51/4	51/4	0.125	3/16	3/16	Chord	4/4	1	1	1/32		1/32	1	76									9	
4	4	103/8	103/8	0.125	7/32	7/32	Chord	4/4	1	1	1/32		1/32	1	77									9	
4	4	13	13	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	78										
4	4	53/4	53/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	79		articStaccatoBelow							10	
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	80		articStaccatoBelow							10	
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	81		articStaccatoBelow								
4	4	14	14	0.875	1/2	1/2	Chord	4/4	1	1	7/32		1/8	7/4	82		ornamentTurn							11	
4	4	119/8	119/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32		1/32	1	83										
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	84										
4	4	125/8	125/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32		1/32	1	85										
4	4	63/4	63/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32		1/32	1	86										
