mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	tempo	qpm	slur
1	1	0	0.0	0	0	Tempo	4/4	1	1	0							Allegro	148	
1	1	0	0.0	0	0	Tempo	4/4	1	1	0							 = 74	148	
1	1	0	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	0				
1	1	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	1				
1	1	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	2				
1	1	0	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	3				
1	1	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	4				
1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	5				
1	1	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	6				
1	1	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	7				
1	1	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	8				
1	1	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	9				
1	1	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	10				
2	2	4	1.5	0	0	Chord	4/4	1	1	3/8			1/4	3/2	11				0
2	2	11/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	12				0
2	2	23/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	13				0
2	2	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	14				
2	2	4	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	15				
2	2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	16				
2	2	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	17				
2	2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	18				
2	2	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	19				
2	2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	20				
2	2	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	21				
2	2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	22				
3	3	8	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	23				
3	3	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	24				
3	3	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	25				
3	3	8	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	26				
3	3	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	27				
3	3	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	28				
3	3	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	29				
3	3	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	30				
3	3	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	31				
3	3	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	32				
3	3	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	33				
4	4	12	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	34				
4	4	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	35	ornamentTrill			1
4	4	27/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	36				1
4	4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	37				
4	4	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	38				
4	4	12	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	39				
4	4	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	40				
4	4	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	41				
4	4	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	42				
4	4	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	43				
4	4	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	44				
4	4	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	45				
4	4	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	46				
5	5	16	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	47				
5	5	33/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	48				
5	5	67/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	49				
5	5	17	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	50				
5	5	69/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	51				
5	5	35/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	52				
5	5	71/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	53				
5	5	18	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	54				
5	5	73/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	55				
5	5	37/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	56				
5	5	75/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	57				
5	5	19	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	58				
5	5	77/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	59				
5	5	39/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	60				
5	5	79/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	61				
5	5	16	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	62				
5	5	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	63				
6	6	20	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	64				
6	6	41/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	65				
6	6	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	66				
6	6	21	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	67				
6	6	85/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	68				
6	6	43/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	69				
6	6	87/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	70				
6	6	22	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	71				
6	6	89/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	72				
6	6	45/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	73				
6	6	91/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	74				
6	6	23	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	75				
6	6	93/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	76				
6	6	47/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	77				
6	6	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	78				
6	6	20	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	79				
6	6	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	80				
7	7	24	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	81				
7	7	49/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	82				
7	7	99/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	83				
7	7	25	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	84				
7	7	101/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	85				
7	7	51/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	86				
7	7	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	87				
7	7	26	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	88				
7	7	105/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	89				
7	7	53/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	90				
7	7	107/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	91				
7	7	27	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	92				
7	7	109/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	93				
7	7	55/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	94				
7	7	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	95				
7	7	24	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	96				
7	7	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	97				
8	8	28	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	98				
8	8	57/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	99				
8	8	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	100				
8	8	29	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	101				
8	8	117/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	102				
8	8	59/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	103				
8	8	119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	104				
8	8	30	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	105				
8	8	121/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	106				
8	8	61/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	107				
8	8	123/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	108				
8	8	31	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	109				
8	8	125/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	110				
8	8	63/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	111				
8	8	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	112				
8	8	28	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	113				
8	8	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	114				
9	9	32	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	115				
9	9	65/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	116				
9	9	131/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	117				
9	9	33	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	118				
9	9	133/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	119				
9	9	67/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	120				
9	9	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	121				
9	9	34	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	122				
9	9	137/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	123				
9	9	69/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	124				
9	9	139/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	125				
9	9	35	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	126				
9	9	141/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	127				
9	9	71/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	128				
9	9	143/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	129				
9	9	32	4.0	0	0	Chord	4/4	2	1	1			1	1	130				
10	10	36	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	131				
10	10	145/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	132				
10	10	73/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	133				
10	10	147/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	134				
10	10	37	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	135				
10	10	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	136				
10	10	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	137				
10	10	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	138				
10	10	38	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	139				
10	10	153/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	140				
10	10	77/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	141				
10	10	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	142				
10	10	39	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	143				
10	10	157/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	144				
10	10	79/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	145				
10	10	159/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	146				
10	10	36	1.5	0	0	Chord	4/4	2	1	3/8			1/4	3/2	147				
10	10	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	148				
10	10	38	1.5	1/2	1/2	Chord	4/4	2	1	3/8			1/4	3/2	149				
10	10	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	150				
11	11	40	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	151				
11	11	81/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	152				
11	11	41	0.5	1/4	1/4	Chord	4/4	1	1	1/8			1/8	1	153				
11	11	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1	154				
11	11	42	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	155				
11	11	85/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	156				
11	11	43	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	157				
11	11	87/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	158				
11	11	40	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	159				
11	11	161/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	160				
11	11	81/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	161				
11	11	163/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	162				
11	11	41	0.25	1/4	1/4	Chord	4/4	2	1	1/16			1/16	1	163				
11	11	165/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	164				
11	11	83/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	165				
11	11	167/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	166				
11	11	42	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	167				
11	11	169/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	168				
