mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	SystemText	4/4	1	1	0					Adagio						
1	1	0	0	0.0		0	0	Tempo	4/4	1	1	0						𝅘𝅥=45	45.0	𝅘𝅥	45.0	0.0	
1	1	0	0	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	0								0
1	1	1	1	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	1								0
1	1	3/2	3/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	2								0
1	1	2	2	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	3								
1	1	5/2	5/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	4								1
1	1	3	3	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	5								1
1	1	7/2	7/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	6								1
1	1	7/2	7/2	0.5		7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	7								
1	1	0	0	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	8								
1	1	3/2	3/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	9								
1	1	2	2	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	10								
1	1	7/2	7/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	11								2
2	2	4	4	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	12								
2	2	9/2	9/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	13								3
2	2	5	5	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	14								3
2	2	11/2	11/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	15								
2	2	6	6	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	16								4
2	2	27/4	27/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	17								
2	2	7	7	0.25		3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	18								5
2	2	29/4	29/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	19								
2	2	15/2	15/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	20								
2	2	31/4	31/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	21								
2	2	4	4	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	22								
2	2	6	6	1.0		1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	23								
2	2	7	7	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	24								
2	2	4	4	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	25								2
2	2	9/2	9/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	26								2
2	2	5	5	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	27								2
2	2	11/2	11/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	28								
2	2	6	6	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	29								
2	2	7	7	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	30								
3	3	8	8	1.0		0	0	Chord	4/4	1	1	1/4	1/4	1	31								6
3	3	9	9	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	32								
3	3	19/2	19/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	33								
3	3	10	10	0.5		1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	34	articStaccatoAbove							
3	3	21/2	21/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	35	articStaccatoAbove							
3	3	11	11	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	36	articStaccatoAbove							
3	3	23/2	23/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	37	articStaccatoAbove							
3	3	8	8	2.0		0	0	Chord	4/4	1	2	1/2	1/2	1	38								
3	3	10	10	0.5		1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	39								
3	3	21/2	21/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	40								
3	3	11	11	1.0		3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	41								
3	3	8	8	1.0		0	0	Chord	4/4	2	1	1/4	1/4	1	42								7
3	3	9	9	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	43								7
3	3	19/2	19/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	44								
3	3	10	10	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	45	articStaccatoAbove							
3	3	21/2	21/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	46	articStaccatoAbove							
3	3	11	11	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	47	articStaccatoAbove							
3	3	23/2	23/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	48	articStaccatoAbove							
4	4	12	12	0.5		0	0	Chord	4/4	1	1	1/8	1/8	1	49								
4	4	25/2	25/2	0.125		1/8	1/8	Chord	4/4	1	1	1/32	1/32	1	50								8
4	4	101/8	101/8	0.125		5/32	5/32	Chord	4/4	1	1	1/32	1/32	1	51								8
4	4	51/4	51/4	0.125		3/16	3/16	Chord	4/4	1	1	1/32	1/32	1	52								8
4	4	103/8	103/8	0.125		7/32	7/32	Chord	4/4	1	1	1/32	1/32	1	53								
4	4	13	13	0.5		1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	54								
4	4	27/2	27/2	0.125		3/8	3/8	Chord	4/4	1	1	1/32	1/32	1	55								9
4	4	109/8	109/8	0.125		13/32	13/32	Chord	4/4	1	1	1/32	1/32	1	56								9
4	4	55/4	55/4	0.125		7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	57								9
4	4	111/8	111/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	58								
4	4	14	14	1.0		1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	59								10
4	4	15	15	0.5		3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	60								
4	4	12	12	0.5		0	0	Chord	4/4	2	1	1/8	1/8	1	61								
4	4	25/2	25/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	62								
4	4	13	13	0.5		1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	63								
4	4	27/2	27/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	64								
4	4	14	14	1.0		1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	65								11
4	4	15	15	0.5		3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	66								
4	4	13	13	1.0		1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	67								
4	4	14	14	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	68								
4	4	15	15	0.5		3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	69								
