mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	0	0	1.0	-2	3/4	1/4	1/2		1			firstMeasure					2
2	1	1	3.0	-2	3/4	3/4	0										3
3	2	4	3.0	-2	3/4	3/4	0										4
4	3	7	3.0	-2	3/4	3/4	0										5
5	4	10	3.0	-2	3/4	3/4	0				line						6
6	5	13	3.0	-2	3/4	3/4	0										7
7	6	16	3.0	-2	3/4	3/4	0										8
8	7	19	3.0	-2	3/4	3/4	0										9
9	8	22	3.0	-2	3/4	3/4	0				line						10
10	9	25	3.0	-2	3/4	3/4	0										11
11	10	28	3.0	-2	3/4	3/4	0										12
12	11	31	3.0	-2	3/4	3/4	0										13
13	12	34	2.0	-2	3/4	1/2	0					end					1, 14
14	12	36	1.0	-2	3/4	1/4	1/2		1			start					15
15	13	37	3.0	-2	3/4	3/4	0				line						16
16	14	40	3.0	-2	3/4	3/4	0										17
17	15	43	3.0	-2	3/4	3/4	0										18
18	16	46	3.0	-2	3/4	3/4	0										19
19	17	49	3.0	-2	3/4	3/4	0										20
20	18	52	3.0	-2	3/4	3/4	0				line						21
21	19	55	3.0	-2	3/4	3/4	0										22
22	20	58	3.0	-2	3/4	3/4	0										23
23	21	61	3.0	-2	3/4	3/4	0										24
24	22	64	3.0	-2	3/4	3/4	0										25
25	23	67	3.0	-2	3/4	3/4	0				line						26
26	24	70	3.0	-2	3/4	3/4	0										27
27	25	73	3.0	-2	3/4	3/4	0										28
28	26	76	3.0	-2	3/4	3/4	0										29
29	27	79	3.0	-2	3/4	3/4	0				line						30
30	28	82	3.0	-2	3/4	3/4	0										31
31	29	85	3.0	-2	3/4	3/4	0										32
32	30	88	3.0	-2	3/4	3/4	0										33
33	31	91	3.0	-2	3/4	3/4	0										34
34	32	94	2.0	-2	3/4	1/2	0				line	end	fine				14, 35, -1
35	32	96	1.0	-3	3/4	1/4	1/2		1								36
36	33	97	3.0	-3	3/4	3/4	0										37
37	34	100	3.0	-3	3/4	3/4	0										38
38	35	103	3.0	-3	3/4	3/4	0				line						39
39	36	106	3.0	-3	3/4	3/4	0										40
40	37	109	3.0	-3	3/4	3/4	0										41
41	38	112	3.0	-3	3/4	3/4	0				line						42
42	39	115	3.0	-3	3/4	3/4	0										43
43	40	118	3.0	-3	3/4	3/4	0										44
44	41	121	3.0	-3	3/4	3/4	0										45
45	42	124	3.0	-3	3/4	3/4	0				line						46
46	43	127	3.0	-3	3/4	3/4	0										47
47	44	130	3.0	-3	3/4	3/4	0										48
48	45	133	3.0	-3	3/4	3/4	0										49
49	46	136	3.0	-3	3/4	3/4	0				line						50
50	47	139	3.0	-3	3/4	3/4	0										51
51	48	142	2.0	-3	3/4	1/2	0					end					35, 52
52	48	144	1.0	-3	3/4	1/4	1/2		1			start					53
53	49	145	3.0	-3	3/4	3/4	0										54
54	50	148	3.0	-3	3/4	3/4	0				line						55
55	51	151	3.0	-3	3/4	3/4	0										56
56	52	154	3.0	-3	3/4	3/4	0										57
57	53	157	3.0	-3	3/4	3/4	0										58
58	54	160	3.0	-3	3/4	3/4	0				line						59
59	55	163	3.0	-3	3/4	3/4	0										60
60	56	166	3.0	-3	3/4	3/4	0										61
61	57	169	3.0	-3	3/4	3/4	0										62
62	58	172	3.0	-3	3/4	3/4	0				line						63
63	59	175	3.0	-3	3/4	3/4	0										64
64	60	178	3.0	-3	3/4	3/4	0										65
65	61	181	3.0	-3	3/4	3/4	0				line						66
66	62	184	3.0	-3	3/4	3/4	0										67
67	63	187	3.0	-3	3/4	3/4	0										68
68	64	190	3.0	-3	3/4	3/4	0				line						69
69	65	193	3.0	-3	3/4	3/4	0										70
70	66	196	3.0	-3	3/4	3/4	0										71
71	67	199	3.0	-3	3/4	3/4	0				line						72
72	68	202	3.0	-3	3/4	3/4	0										73
73	69	205	3.0	-3	3/4	3/4	0										74
74	70	208	3.0	-3	3/4	3/4	0										75
75	71	211	3.0	-3	3/4	3/4	0										76
76	72	214	2.0	-3	3/4	1/2	0				line	end		start		fine	52, 1
